nullrtA1c1b0,rtA1c1b1,rtA1c1b2,rtA1c1b3,rtA1c1b4,rtA1c1b5,rtA1c1b6,rtA1c1b7,rtA1c1b8,rtA1c1b9,rtA1c1b10,rtA1c1b11,rtA1c1b12,rtA1c1b13,rtA1c1b14,rtA1c1b15,rtA1c1b16,rtA1c1b17,rtA1c1b18,rtA1c1b19,rtA1c1b20,rtA1c1b21,rtA1c1b22,rtA1c1b23,rtA1c1b24,rtA1c1b25,rtA1c1b26,rtA1c1b27,rtA1c1b28,rtA1c1b29,rtA1c1b30,rtA1c1b31,rtA1c1b32,rtA1c1b33,rtA1c1b34,rtA1c1b35,rtA1c1b36,rtA1c1b37,rtA1c1b38,rtA1c1b39,rtA1c1b40,rtA1c1b41,rtA1c1b42,rtA1c1b43,rtA1c1b44,rtA1c1b45,rtA1c1b46,rtA1c1b47,rtA1c1b48,rtA1c1b49,rtA1c1b50,rtA1c1b51,rtA1c1b52,rtA1c1b53,rtA1c1b54,rtA1c1b55,rtA1c1b56,rtA1c1b57,rtA1c1b58,rtA1c1b59,rtA1c1b60,rtA1c1b61,rtA1c1b62,rtA1c1b63,rtA1c1b64,rtA1c1b65,rtA1c1b66,rtA1c1b67,rtA1c1b68,rtA1c1b69,rtA1c1b70,rtA1c1b71,rtA1c1b72,rtA1c1b73,rtA1c1b74,rtA1c1b75,rtA1c1b76,rtA1c1b77,rtA1c1b78,rtA1c1b79,rtA1c1b80,rtA1c1b81,rtA1c1b82,rtA1c1b83,rtA1c1b84,rtA1c1b85,rtA1c1b86,rtA1c1b87,rtA1c1b88,rtA1c1b89,rtA1c1b90,rtA1c1b91,rtA1c1b92,rtA1c1b93,rtA1c1b94,rtA1c1b95,rtA1c1b96,rtA1c1b97,rtA1c1b98,rtA1c1b99,rtA1c1b100,rtA1c1b101,rtA1c1b102,rtA1c1b103,rtA1c1b104,rtA1c1b105,rtA1c1b106,rtA1c1b107,rtA1c1b108,rtA1c1b109,rtA1c1b110,rtA1c1b111,rtA1c1b112,rtA1c1b113,rtA1c1b114,rtA1c1b115,rtA1c1b116,rtA1c1b117,rtA1c1b118,rtA1c1b119,rtA1c1b120,rtA1c1b121,rtA1c1b122,rtA1c1b123,rtA1c1b124,rtA1c1b125,rtA1c1b126,rtA1c1b127,rtA1c1b128,rtA1c1b129,rtA1c1b130,rtA1c1b131,rtA1c1b132,rtA1c1b133,rtA1c1b134,rtA1c1b135,rtA1c1b136,rtA1c1b137,rtA1c1b138,rtA1c1b139,rtA1c1b140,rtA1c1b141,rtA1c1b142,rtA1c1b143,rtA1c1b144,rtA1c1b145,rtA1c1b146,rtA1c1b147,rtA1c1b148,rtA1c1b149,rtA1c1b150,rtA1c1b151,rtA1c1b152,rtA1c1b153,rtA1c1b154,rtA1c1b155,rtA1c1b156,rtA1c1b157,rtA1c1b158,rtA1c1b159,rtA1c1b160,rtA1c1b161,rtA1c1b162,rtA1c1b163,rtA1c1b164,rtA1c1b165,rtA1c1b166,rtA1c1b167,rtA1c1b168,rtA1c1b169,rtA1c1b170,rtA1c1b171,rtA1c1b172,rtA1c1b173,rtA1c1b174,rtA1c1b175,rtA1c1b176,rtA1c1b177,rtA1c1b178,rtA1c1b179,rtA1c1b180,rtA1c1b181,rtA1c1b182,rtA1c1b183,rtA1c1b184,rtA1c1b185,rtA1c1b186,rtA1c1b187,rtA1c1b188,rtA1c1b189,rtA1c1b190,rtA1c1b191,rtA1c1b192,rtA1c1b193,rtA1c1b194,rtA1c1b195,rtA1c1b196,rtA1c1b197,rtA1c1b198,rtA1c1b199,rtA1c1b200,rtA1c1b201,rtA1c1b202,rtA1c1b203,rtA1c1b204,rtA1c1b205,rtA1c1b206,rtA1c1b207,rtA1c1b208,rtA1c1b209,rtA1c1b210,rtA1c1b211,rtA1c1b212,rtA1c1b213,rtA1c1b214,rtA1c1b215,rtA1c1b216,rtA1c1b217,rtA1c1b218,rtA1c1b219,rtA1c1b220,rtA1c1b221,rtA1c1b222,rtA1c1b223,rtA1c1b224,rtA1c1b225,rtA1c1b226,rtA1c1b227,rtA1c1b228,rtA1c1b229,rtA1c1b230,rtA1c1b231,rtA1c1b232,rtA1c1b233,rtA1c1b234,rtA1c1b235,rtA1c1b236,rtA1c1b237,rtA1c1b238,rtA1c1b239,rtA1c1b240,rtA1c1b241,rtA1c1b242,rtA1c1b243,rtA1c1b244,rtA1c1b245,rtA1c1b246,rtA1c1b247,rtA1c1b248,rtA1c1b249,rtA1c1b250,rtA1c1b251,rtA1c1b252,rtA1c1b253,rtA1c1b254,rtA1c1b255,rtA1c1b256,rtA1c1b257,rtA1c1b258,rtA1c1b259,rtA1c1b260,rtA1c1b261,rtA1c1b262,rtA1c1b263,rtA1c1b264,rtA1c1b265,rtA1c1b266,rtA1c1b267,rtA1c1b268,rtA1c1b269,rtA1c1b270,rtA1c1b271,rtA1c1b272,rtA1c1b273,rtA1c1b274,rtA1c1b275,rtA1c1b276,rtA1c1b277,rtA1c1b278,rtA1c1b279,rtA1c1b280,rtA1c1b281,rtA1c1b282,rtA1c1b283,rtA1c1b284,rtA1c1b285,rtA1c1b286,rtA1c1b287,rtA1c1b288,rtA1c1b289,rtA1c1b290,rtA1c1b291,rtA1c1b292,rtA1c1b293,rtA1c1b294,rtA1c1b295,rtA1c1b296,rtA1c1b297,rtA1c1b298,rtA1c1b299,rtA1c1b300
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
0,540,3413,4475,4475,4476,4476,4476,4476,4478,4478,4478,4478,3512,4478,4478,4478,4478,4478,4478,4479,4479,4479,4479,3612,4479,4479,4479,4479,4479,4479,4479,4479,4479,4479,3713,4479,4479,4479,4479,4480,4480,4480,4480,4480,4480,3812,4481,4481,4481,4481,4481,4481,4481,4481,4481,4500,3912,4550,4601,4655,4705,4755,4805,4855,4999,5236,5361,3917,5460,5560,5661,5760,5861,5964,6064,6163,6264,6363,3917,6387,6387,6388,6389,6389,6471,6535,6535,6535,6535,3917,6535,6535,6535,6535,6535,6535,6535,6535,6535,6535,3917,6535,6684,6783,6862,6862,6862,6862,6864,6865,6949,1098,3917,7150,7352,7601,7853,8069,8271,8286,8286,8301,8351,3917,8411,8465,8516,8566,8620,8677,8727,8777,8826,8876,3918,8903,8903,8904,8904,8904,8904,8904,8904,8905,8985,3918,9086,9186,9285,9386,9455,9490,10593,11821,12993,14168,3918,15338,16376,17519,18719,19931,21070,22152,23152,24055,24945,3918,25767,26287,26386,26486,26655,26855,27055,27255,27457,27971,3918,28503,29007,29507,30007,30502,31097,31756,32221,32621,33024,3919,33124,33277,33477,33677,33877,34075,34322,34724,35124,35528,3919,35924,36246,36646,37050,37446,37846,38250,38646,39051,39451,3919,39851,40247,40624,40974,41326,41619,41868,42115,42368,42615,1686,3919,42868,3919,3919,3919,3919,3919,3919,3919,3919,3919,2286,3919,3919,3919,3919,3919,3919,3919,3919,3919,3920,2892,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3013,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3112,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3213,3920,3920,3920,3920,3920,3920,3920,3920,3920,3920,3312,3920,4070,4198,4298,4398,4471,4471,4471,4471,4475
